participant_id,Pragmatic Quality,Hedonic Quality,Overall,condition
3,1.25,2.75,2.0,Functional UI (A)
3,1.5,2.5,2.0,No UI (B)
5,-1.0,-1.0,-1.0,Functional UI (A)
5,0.0,-1.0,-0.5,No UI (B)
7,0.75,3.0,1.88,Functional UI (A)
7,1.25,3.0,2.13,No UI (B)
9,1.5,0.75,1.13,Functional UI (A)
9,0.5,-0.25,0.13,No UI (B)
11,0.75,1.0,0.88,Functional UI (A)
11,-0.25,-1.75,-1.0,No UI (B)
13,0.0,2.0,1.0,Functional UI (A)
13,-1.0,0.5,-0.25,No UI (B)
15,1.25,3.0,2.13,Functional UI (A)
15,0.0,0.25,0.13,No UI (B)
17,1.0,2.25,1.63,Functional UI (A)
17,0.0,2.25,1.13,No UI (B)
19,0.25,2.25,1.25,Functional UI (A)
19,0.0,-2.25,-1.13,No UI (B)
21,1.75,3.0,2.38,Functional UI (A)
21,1.5,3.0,2.25,No UI (B)
23,1.5,3.0,2.25,Functional UI (A)
23,1.5,3.0,2.25,No UI (B)
25,1.75,1.75,1.75,Functional UI (A)
25,1.75,0.25,1.0,No UI (B)
27,1.5,2.5,2.0,Functional UI (A)
27,0.0,-0.5,-0.25,No UI (B)
