participant_id,Pragmatic Quality,Hedonic Quality,Overall,condition
1,1.0,1.0,1.0,Functional UI (A)
1,1.0,2.0,1.5,Placebo UI (C)
2,1.25,2.75,2.0,Functional UI (A)
2,1.5,2.25,1.88,Placebo UI (C)
4,0.0,-0.75,-0.38,Functional UI (A)
4,0.0,0.5,0.25,Placebo UI (C)
6,-0.25,2.0,0.88,Functional UI (A)
6,1.0,-0.25,0.38,Placebo UI (C)
8,1.25,3.0,2.13,Functional UI (A)
8,1.5,2.5,2.0,Placebo UI (C)
10,1.0,2.25,1.63,Functional UI (A)
10,0.5,1.75,1.13,Placebo UI (C)
14,0.75,-0.75,0.0,Functional UI (A)
14,0.75,-0.5,0.13,Placebo UI (C)
16,1.5,2.5,2.0,Functional UI (A)
16,1.5,2.5,2.0,Placebo UI (C)
18,0.75,2.0,1.38,Functional UI (A)
18,2.0,2.25,2.13,Placebo UI (C)
20,1.75,2.0,1.88,Functional UI (A)
20,1.5,1.25,1.38,Placebo UI (C)
22,1.0,2.5,1.75,Functional UI (A)
22,0.5,-0.5,0.0,Placebo UI (C)
24,1.5,3.0,2.25,Functional UI (A)
24,1.5,2.75,2.13,Placebo UI (C)
26,1.25,-1.75,-0.25,Functional UI (A)
26,-0.5,-0.5,-0.5,Placebo UI (C)
